Altium Designer Pick and Place Locations
C:\Users\blinkinlabs\Desktop\JTAG_hat\pcb\Project Outputs for JTAG_hat\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       21/01/21
Time:       23:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"R7","ERJ2G(0402)_L","21.9000","51.7000","21.9000","51.7000","21.5000","51.7000","TopLayer","0","100"
"R10","ERJ2G(0402)_L","19.9000","50.7000","19.9000","50.7000","19.9000","51.1000","TopLayer","270","20k"
"C2","CAPC2012X10L","12.4000","50.4000","12.4000","50.4000","12.4000","51.1500","TopLayer","270","10uF"
"C1","CAPC1005X06L","14.3000","50.2000","14.3000","50.2000","14.3000","49.8100","TopLayer","90","0.10uF"
"U5","SOT95P280X145-6N-5","17.1000","49.7000","17.1000","49.7000","15.7750","50.6500","TopLayer","0","AP22653W6-7"
"R15","ERJ2G(0402)_L","46.2500","48.2500","46.2500","48.2500","46.6500","48.2500","TopLayer","180","1k"
"D1","BL-Hxx37A-AV-TRB","48.7500","48.2500","48.7500","48.2500","48.2250","48.2500","TopLayer","360","BL-HUB37A-AV-TRB"
"R11","ERJ2G(0402)_L","10.9000","47.3000","10.9000","47.3000","10.5000","47.3000","TopLayer","360","10k"
"R4","ERJ2G(0402)_L","21.9270","46.3150","21.9270","46.3150","21.5270","46.3150","TopLayer","0","100"
"R14","ERJ2G(0402)_L","10.9000","46.0000","10.9000","46.0000","10.5000","46.0000","TopLayer","360","10k"
"U3","FP-DCT0008A-MFG","17.4270","45.8150","17.4270","45.8150","15.7270","46.7900","TopLayer","0","SN74LVC2T45DCTR"
"R2","ERJ2G(0402)_L","21.9270","42.3150","21.9270","42.3150","21.5270","42.3150","TopLayer","0","100"
"U2","FP-DCT0008A-MFG","17.4270","41.8150","17.4270","41.8150","15.7270","42.7900","TopLayer","0","SN74LVC2T45DCTR"
"R3","ERJ2G(0402)_L","21.9270","41.3150","21.9270","41.3150","21.5270","41.3150","TopLayer","0","100"
"J2","1.27mm_2x5_SMD_Header","48.9270","40.3150","48.9270","40.3150","46.9770","42.8550","TopLayer","270","ARM Cortex JTAG"
"J4","HDR2X10","36.5170","40.2550","35.2470","51.6850","35.2470","51.6850","TopLayer","270","20-pin JTAG/SW"
"R17","ERJ2G(0402)_L","26.8000","39.9000","26.8000","39.9000","26.4000","39.9000","TopLayer","360","100"
"R12","ERJ2G(0402)_L","21.1000","38.8000","21.1000","38.8000","21.5000","38.8000","TopLayer","180","10k"
"R9","ERJ2G(0402)_L","26.8000","38.8000","26.8000","38.8000","26.4000","38.8000","TopLayer","360","10k"
"Q1","FP-419B-02-MFG","24.1000","38.2000","24.1000","38.2000","24.7500","39.1201","TopLayer","270","NTJD5121NT1G"
"R13","ERJ2G(0402)_L","21.1000","37.7000","21.1000","37.7000","21.5000","37.7000","TopLayer","180","10k"
"R8","ERJ2G(0402)_L","26.8000","37.7000","26.8000","37.7000","26.4000","37.7000","TopLayer","360","10k"
"R16","ERJ2G(0402)_L","26.8000","36.6000","26.8000","36.6000","26.4000","36.6000","TopLayer","360","100"
"R5","ERJ2G(0402)_L","21.9270","34.3150","21.9270","34.3150","21.5270","34.3150","TopLayer","0","100"
"U4","FP-DCT0008A-MFG","17.4270","33.8150","17.4270","33.8150","15.7270","34.7900","TopLayer","0","SN74LVC2T45DCTR"
"R6","ERJ2G(0402)_L","21.9270","33.3150","21.9270","33.3150","21.5270","33.3150","TopLayer","0","100"
"J1","RaspberryPi_Connector","26.8650","32.0000","27.5000","32.0000","4.2700","7.8700","TopLayer","0","Raspberry Pi 3b+"
"R1","ERJ2G(0402)_L","21.9270","30.3150","21.9270","30.3150","21.5270","30.3150","TopLayer","0","100"
"U1","FP-DCT0008A-MFG","17.4270","29.8150","17.4270","29.8150","15.7270","30.7900","TopLayer","0","SN74LVC2T45DCTR"
"J3","HDR1X4","35.2470","16.1250","35.2470","19.9350","35.2470","19.9350","TopLayer","270","RS232"
