Altium Designer Pick and Place Locations
C:\Users\matt\Blinkinlabs-Repos\JTAG_hat\pcb\Project Outputs for JTAG_hat\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       01/04/21
Time:       16:38
Revision:   760cf3307b266e0545932c9cf0ae9376fdf7e76e
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C12","CAPC1005X06L","18.3230","58.9500","18.3230","58.9500","18.7130","58.9500","TopLayer","180","0.10uF"
"U7","DCN0008A_M","16.8330","56.6250","16.8330","56.6250","18.3080","55.6500","TopLayer","180","INA219AIDCNR"
"R18","FP-PE0805L-0R051-0R910-MFG","21.0000","54.0000","21.0000","54.0000","20.2400","54.0000","TopLayer","360","PE0805FRF7T0R1L"
"C2","CAPC2012X10L","12.3350","52.4024","12.3350","52.4024","12.3350","53.1524","TopLayer","270","10uF"
"C1","CAPC1005X06L","14.2350","52.2024","14.2350","52.2024","14.2350","51.8124","TopLayer","90","0.10uF"
"U5","SOT95P280X145-6N-5","17.0350","51.7024","17.0350","51.7024","15.7100","52.6524","TopLayer","0","AP22653W6-7"
"R10","ERJ2G(0402)_L","20.6000","51.7000","20.6000","51.7000","21.0000","51.7000","TopLayer","180","20k"
"R7","ERJ2G(0402)_L","20.6000","50.6000","20.6000","50.6000","20.2000","50.6000","TopLayer","360","100"
"C10","CAPC1005X06L","19.4000","49.1000","19.4000","49.1000","19.7900","49.1000","TopLayer","180","0.10uF"
"C6","CAPC1005X06L","15.7000","49.1000","15.7000","49.1000","15.3100","49.1000","TopLayer","0","0.10uF"
"R15","ERJ2G(0402)_L","46.2500","48.2500","46.2500","48.2500","46.6500","48.2500","TopLayer","180","1k"
"D1","BL-Hxx37A-AV-TRB","48.7500","48.2500","48.7500","48.2500","48.2250","48.2500","TopLayer","360","BL-HUB37A-AV-TRB"
"R11","ERJ2G(0402)_L","10.9000","48.2000","10.9000","48.2000","10.5000","48.2000","TopLayer","360","10k"
"R4","ERJ2G(0402)_L","21.9270","47.2150","21.9270","47.2150","21.5270","47.2150","TopLayer","0","100"
"R14","ERJ2G(0402)_L","10.9000","46.9000","10.9000","46.9000","10.5000","46.9000","TopLayer","360","10k"
