Designator,Quantity,Comment,Description,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Pins,Package / Case,Footprint,Library Name

"Q1","1","NTJD5121NT1G","MOSFET 2N-CH 60V 0.295A SOT363","","","","","","","6","","FP-419B-02-MFG","Altium Content Vault"
"R18","1","PE0805FRF7T0R1L","METAL CURRENT SENSOR 0805 1% 100","Yageo","PE0805FRF7T0R1L","Farnell","4149061","Farnell","4149061RL","2","","FP-PE0805L-0R051-0R910-MFG","Altium Content Vault"
"U1, U2, U3, U4","4","SN74LVC2T45DCTR","IC TRNSLTR BIDIRECTIONAL SM8","Texas Instruments","SN74LVC2T45DCTR","Digikey","296-16845-1-ND","Digikey","296-16845-2-ND","8","","FP-DCT0008A-MFG","Altium Content Vault"
"U6","1","NC7WZ14P6X","Tiny Logic(R) UHS Dual Inverter with Schmitt Trigger Inputs, 1.65 to 5.5 V, -40 to 85 degC, 6-Pin SOT23 (SC70), RoHS, Tape and Reel","ON Semiconductor / Fairchild","NC7WZ14P6X","Farnell","1417668","Farnell","1417668RL","6","6-TSSOP,SC-88,SOT-363","FAIR-SC70-6_V","Altium Content Vault"
"U7","1","INA219AID","Zero-Drift, Bi-Directional Current / Power Monitor, 3 to 5.5 V, -40 to 125 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)","Texas Instruments","INA219AID","Digikey","296-33291-5-ND","Mouser","595-INA219AID","8","","D0008A_N","Altium Content Vault"
"D1","1","BL-HUB37A-AV-TRB","LED, 0402, Super Red, 50mcd@20mA, 627~637nm","","","","","","","2","","BL-Hxx37A-AV-TRB","Blinkinlabs.IntLib"
"J1","1","Raspberry Pi 3b+","Raspberry Pi shield Header","","","","","","","40","","RaspberryPi_Connector","Blinkinlabs.IntLib"
"J2","1","Cortex Debug","Arm Cortex 10-pin JTAG connector","","","","","","","10","","1.27mm 2x5 SMD Header","Blinkinlabs.IntLib"
"U5","1","AP22653W6-7","LOAD SWITCH,SOT26,T&R,3K","","","","","","","6","","SOT95P280X145-6N-5","Blinkinlabs.IntLib"
"C1, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12","11","0.10uF","CAP CER 0.1UF 10V X5R 0402","","","","","","","2","0402 (1005 Metric)","CAPC1005X06L","cap_murata.DbLib"
"C2","1","10uF","CAP CER 10UF 10V X7R 0805","","","","","","","2","0805 (2012 Metric)","CAPC2012X10L","cap_murata.DbLib"
"J3, J5","2","UART","Header, 4-Pin","","","","","","","4","","HDR1X4","Miscellaneous Connectors.IntLib"
"J4","1","20-pin JTAG/SW","","","","","","","","20","","HDR2X10","Miscellaneous Connectors.IntLib"
"R1, R2, R3, R4, R5, R6, R7, R16, R17","9","100","RES SMD 100 OHM 5% 1/10W 0402","","","","","","","2","0402 (1005 Metric)","ERJ2G(0402)_L","res_panasonic_erj_xls.DbLib"
"R8, R9, R11, R12, R13, R14","6","10k","RES SMD 10K OHM 5% 1/5W 0402","","","","","","","2","0402 (1005 Metric)","ERJ2G(0402)_L","res_panasonic_erj_xls.DbLib"
"R10","1","20k","RES SMD 20K OHM 1% 1/10W 0402","","","","","","","2","0402 (1005 Metric)","ERJ2G(0402)_L","res_panasonic_erj_xls.DbLib"
"R15","1","1k","RES SMD 1K OHM 5% 1/10W 0402","","","","","","","2","0402 (1005 Metric)","ERJ2G(0402)_L","res_panasonic_erj_xls.DbLib"
