Altium Designer Pick and Place Locations
C:\Users\matt\reference\JTAG_hat\pcb\Project Outputs for JTAG_hat\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       10/09/24
Time:       17:23
Revision:   90e8218383d6bcf11831bbcb621799bf6c31445c
Variant:    No variations
Units used: mm

"Designator","Value","Comment","Description","Footprint","Ref-X(mm)","Ref-Y(mm)","Layer","Rotation"
"J5","","POWER","Header, 4-Pin","HDR1X4","9.2500","11.0400","TopLayer","270"
"L1","","BLINKINLABS_LOGO","Square logo","BLINKINLABS_LOGO","18.7000","7.6500","TopLayer","0"
"J4","","20-pin JTAG/SW","","HDR2X10","35.2470","51.6850","TopLayer","270"
"J3","","UART","Header, 4-Pin","HDR1X4","35.3470","23.0350","TopLayer","270"
"C12","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","19.5000","56.7500","TopLayer","270"
"C11","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","16.0000","37.9000","TopLayer","90"
"C10","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","19.4000","49.1000","TopLayer","180"
"C9","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","19.2000","31.3000","TopLayer","180"
"C8","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","19.2000","36.1000","TopLayer","180"
"C7","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","19.0000","44.1000","TopLayer","180"
"C6","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","15.7000","49.1000","TopLayer","0"
"C5","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","15.6000","31.3000","TopLayer","0"
"C4","0.10uF","0.10uF","CAP CER 0.1UF 16V X5R 0402","CAPC1005X06L","15.6000","36.1000","TopLayer","0"
